"wavelength","average","sd","cv"
650,4.953,1.349,0.272
652.5,4.858,1.312,0.27
655,4.734,1.27,0.268
657.5,4.586,1.226,0.267
660,4.432,1.188,0.268
662.5,4.293,1.159,0.27
665,4.177,1.139,0.273
667.5,4.082,1.125,0.276
670,4.017,1.112,0.277
672.5,3.976,1.099,0.276
675,3.949,1.084,0.274
677.5,3.939,1.065,0.271
680,3.937,1.041,0.264
682.5,3.974,1.018,0.256
685,4.016,0.988,0.246
687.5,4.046,0.949,0.234
690,4.061,0.901,0.222
692.5,4.015,0.842,0.21
695,3.948,0.782,0.198
697.5,3.862,0.72,0.186
700,3.757,0.657,0.175
702.5,3.621,0.593,0.164
705,3.466,0.529,0.153
707.5,3.297,0.466,0.141
710,3.118,0.405,0.13
712.5,2.931,0.35,0.119
715,2.754,0.301,0.109
717.5,2.56,0.252,0.098
720,2.35,0.204,0.087
722.5,2.144,0.162,0.075
725,1.937,0.126,0.065
727.5,1.736,0.097,0.056
730,1.551,0.075,0.048
732.5,1.393,0.06,0.043
735,1.273,0.051,0.04
737.5,1.185,0.045,0.038
740,1.123,0.04,0.036
742.5,1.08,0.036,0.033
745,1.053,0.033,0.031
747.5,1.032,0.03,0.029
750,1.013,0.028,0.028
752.5,1.001,0.027,0.027
755,0.994,0.026,0.026
757.5,1.012,0.023,0.023
760,1.029,0.022,0.021
762.5,1.033,0.018,0.018
765,1.016,0.014,0.013
767.5,0.985,0.009,0.009
770,0.971,0.007,0.007
772.5,0.968,0.005,0.005
775,0.972,0.003,0.003
777.5,0.985,0.002,0.002
780,1,0,0
782.5,1.015,0.001,0.001
785,1.029,0.002,0.002
787.5,1.046,0.004,0.004
790,1.067,0.005,0.005
792.5,1.087,0.006,0.006
795,1.108,0.008,0.007
797.5,1.127,0.008,0.007
800,1.145,0.009,0.007
802.5,1.159,0.009,0.008
805,1.169,0.009,0.008
807.5,1.173,0.006,0.005
810,1.175,0.007,0.006
812.5,1.171,0.008,0.007
815,1.159,0.007,0.006
817.5,1.138,0.009,0.007
820,1.098,0.009,0.008
822.5,1.043,0.01,0.01
825,0.98,0.013,0.013
827.5,0.912,0.015,0.016
830,0.846,0.015,0.018
832.5,0.788,0.016,0.02
835,0.742,0.015,0.021
837.5,0.707,0.014,0.02
840,0.678,0.013,0.019
842.5,0.658,0.013,0.02
845,0.64,0.013,0.021
847.5,0.627,0.013,0.02
850,0.616,0.012,0.02
852.5,0.603,0.012,0.02
855,0.592,0.012,0.021
857.5,0.579,0.013,0.022
860,0.564,0.013,0.024
862.5,0.553,0.013,0.024
865,0.544,0.015,0.028
867.5,0.534,0.016,0.03
870,0.523,0.016,0.031
872.5,0.512,0.016,0.031
875,0.501,0.018,0.035
877.5,0.488,0.019,0.038
880,0.476,0.021,0.043
882.5,0.465,0.022,0.047
885,0.454,0.021,0.046
887.5,0.44,0.021,0.048
890,0.431,0.022,0.051
892.5,0.425,0.022,0.052
895,0.419,0.023,0.054
897.5,0.413,0.023,0.055
900,0.409,0.027,0.066
